MD,INC,AZI
39,0,0
40,0,0
50,0,0
60,0,0
70,0,0
80,0,0
90,0,0
100,0,0
110,0,0
120,0,0
130,0,0
140,0,0
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
210,0,0
220,0,0
230,0,0
240,0,0
250,0,0
260,0,0
270,0,0
280,0,0
290,0,0
300,0,0
310,0,0
320,0,0
330,0,0
340,0,0
350,0,0
360,0,0
370,0,0
380,0,0
390,0,0
400,0,0
410,0.1,302.5
420,0.2,302.5
430,0.3,302.5
440,0.4,302.5
450,0.5,302.5
460,0.6,302.5
470,0.7,302.5
480,0.8,302.5
490,0.9,302.5
500,1,302.5
510,1.1,302.5
520,1.2,302.5
530,1.3,302.5
540,1.4,302.5
550,1.5,302.5
560,1.67,302.5
570,1.85,302.5
580,2.02,302.5
590,2.2,302.5
600,2.37,302.5
610,2.55,302.5
620,2.72,302.5
630,2.9,302.5
640,3.07,302.5
650,3.25,302.5
660,3.43,302.5
670,3.6,302.5
680,3.78,302.5
690,3.95,302.5
700,4.13,302.5
710,4.3,302.5
720,4.48,302.5
730,4.65,302.5
740,4.83,302.5
750,5,302.5
760,5.18,302.5
770,5.35,302.5
780,5.53,302.5
790,5.7,302.5
800,5.88,302.5
810,6.05,302.5
820,6.23,302.5
830,6.4,302.5
840,6.58,302.5
850,6.75,302.5
860,6.93,302.5
870,7.1,302.5
880,7.28,302.5
890,7.45,302.5
900,7.63,302.5
910,7.8,302.5
920,7.98,302.5
930,8.15,302.5
940,8.33,302.5
950,8.5,302.5
960,8.68,302.5
970,8.85,302.5
980,9.03,302.5
990,9.2,302.5
1000,9.38,302.5
1010,9.55,302.5
1020,9.73,302.5
1030,9.9,302.5
1040,10.08,302.5
1050,10.25,302.5
1060,10.43,302.5
1070,10.6,302.5
1080,10.78,302.5
1090,10.95,302.5
1100,11.13,302.5
1110,11.3,302.5
1120,11.48,302.5
1130,11.65,302.5
1140,11.83,302.5
1150,12,302.5
1160,12.18,302.5
1170,12.35,302.5
1180,12.53,302.5
1190,12.7,302.5
1200,12.88,302.5
1210,13.05,302.5
1220,13.23,302.5
1230,13.4,302.5
1240,13.58,302.5
1250,13.75,302.5
1260,13.93,302.5
1270,14.1,302.5
1280,14.28,302.5
1290,14.45,302.5
1300,14.63,302.5
1310,14.8,302.5
1320,14.98,302.5
1330,15.15,302.5
1340,15.33,302.5
1350,15.5,302.5
1360,15.68,302.5
1370,15.85,302.5
1380,16.03,302.5
1390,16.2,302.5
1400,16.38,302.5
1410,16.55,302.5
1420,16.73,302.5
1430,16.9,302.5
1440,17.08,302.5
1450,17.25,302.5
1460,17.43,302.5
1470,17.6,302.5
1480,17.78,302.5
1490,17.95,302.5
1500,18.13,302.5
1510,18.3,302.5
1520,18.48,302.5
1530,18.65,302.5
1540,18.83,302.5
1550,19,302.5
1554.02,19.07,302.5
1560,19.07,302.5
1570,19.07,302.5
1580,19.07,302.5
1590,19.07,302.5
1600,19.07,302.5
1610,19.07,302.5
1620,19.07,302.5
1630,19.07,302.5
1640,19.07,302.5
1650,19.07,302.5
1659.82,19.07,302.5
1660,19.07,302.5
1670,19.35,302.5
1680,19.63,302.5
1690,19.9,302.5
1700,20.18,302.5
1710,20.45,302.5
1720,20.73,302.5
1730,21,302.5
1740,21.28,302.5
1750,21.55,302.5
1760,21.83,302.5
1770,22.1,302.5
1780,22.38,302.5
1790,22.65,302.5
1800,22.93,302.5
1810,23.2,302.5
1820,23.48,302.5
1830,23.75,302.5
1840,24.03,302.5
1850,24.3,302.5
1860,24.58,302.5
1870,24.85,302.5
1880,25.13,302.5
1890,25.4,302.5
1900,25.68,302.5
1910,25.95,302.5
1920,26.23,302.5
1930,26.5,302.5
1940,26.78,302.5
1950,27.05,302.5
1960,27.33,302.5
1970,27.6,302.5
1980,27.88,302.5
1990,28.15,302.5
2000,28.43,302.5
2010,28.7,302.5
2020,28.98,302.5
2030,29.25,302.5
2040,29.53,302.5
2050,29.8,302.5
2060,30.08,302.5
2070,30.35,302.5
2080,30.63,302.5
2090,30.9,302.5
2100,31.18,302.5
2110,31.45,302.5
2120,31.73,302.5
2130,32,302.5
2140,32.28,302.5
2150,32.55,302.5
2160,32.83,302.5
2170,33.1,302.5
2180,33.38,302.5
2190,33.65,302.5
2200,33.93,302.5
2210,34.2,302.5
2220,34.48,302.5
2230,34.75,302.5
2240,35.03,302.5
2250,35.3,302.5
2260,35.58,302.5
2270,35.85,302.5
2280,36.13,302.5
2290,36.4,302.5
2300,36.68,302.5
2310,36.95,302.5
2320,37.23,302.5
2330,37.5,302.5
2340,37.78,302.5
2350,38.05,302.5
2360,38.33,302.5
2370,38.6,302.5
2380,38.88,302.5
2390,39.15,302.5
2400,39.43,302.5
2410,39.7,302.5
2420,39.98,302.5
2430,40.25,302.5
2440,40.53,302.5
2450,40.8,302.5
2460,41.08,302.5
2470,41.35,302.5
2480,41.63,302.5
2490,41.9,302.5
2500,42.18,302.5
2510,42.45,302.5
2520,42.73,302.5
2530,43,302.5
2540,43.28,302.5
2550,43.55,302.5
2560,43.83,302.5
2570,44.1,302.5
2580,44.38,302.5
2590,44.65,302.5
2600,44.93,302.5
2610,45.2,302.5
2620,45.48,302.5
2621.88,45.53,302.5
2630,45.53,302.5
2640,45.53,302.5
2641.88,45.53,302.5
2650,45.81,302.5
2660,46.16,302.5
2670,46.51,302.5
2680,46.86,302.5
2690,47.21,302.5
2700,47.56,302.5
2710,47.91,302.5
2720,48.26,302.5
2730,48.61,302.51
2740,48.96,302.51
2750,49.31,302.51
2760,49.66,302.51
2770,50.01,302.51
2780,50.36,302.51
2790,50.71,302.51
2800,51.06,302.51
2810,51.41,302.51
2820,51.76,302.51
2830,52.11,302.51
2840,52.46,302.51
2850,52.81,302.51
2860,53.16,302.51
2870,53.51,302.51
2880,53.86,302.51
2890,54.21,302.51
2900,54.56,302.51
2910,54.91,302.52
2920,55.26,302.52
2930,55.61,302.52
2940,55.96,302.52
2950,56.31,302.52
2960,56.66,302.52
2970,57.01,302.52
2980,57.36,302.52
2990,57.71,302.52
3000,58.06,302.52
3010,58.41,302.52
3020,58.76,302.52
3030,59.11,302.52
3040,59.46,302.52
3050,59.81,302.52
3060,60.16,302.52
3070,60.51,302.52
3080,60.86,302.52
3090,61.21,302.52
3100,61.56,302.52
3110,61.91,302.52
3120,62.26,302.52
3130,62.61,302.53
3140,62.96,302.53
3150,63.31,302.53
3151.5,63.36,302.53
3160,63.36,302.53
3170,63.36,302.53
3180,63.36,302.53
3190,63.36,302.53
3200,63.36,302.53
3210,63.36,302.53
3220,63.36,302.53
3230,63.36,302.53
3240,63.36,302.53
3250,63.36,302.53
3260,63.36,302.53
3270,63.36,302.53
3280,63.36,302.53
3290,63.36,302.53
3300,63.36,302.53
3310,63.36,302.53
3320,63.36,302.53
3330,63.36,302.53
3340,63.36,302.53
3350,63.36,302.53
3360,63.36,302.53
3370,63.36,302.53
3380,63.36,302.53
3390,63.36,302.53
3400,63.36,302.53
3410,63.36,302.53
3420,63.36,302.53
3430,63.36,302.53
3440,63.36,302.53
3450,63.36,302.53
3460,63.36,302.53
3470,63.36,302.53
3480,63.36,302.53
3490,63.36,302.53
3500,63.36,302.53
3510,63.36,302.53
3520,63.36,302.53
3530,63.36,302.53
3540,63.36,302.53
3550,63.36,302.53
3560,63.36,302.53
3570,63.36,302.53
3580,63.36,302.53
3590,63.36,302.53
3600,63.36,302.53
3610,63.36,302.53
3620,63.36,302.53
3630,63.36,302.53
3640,63.36,302.53
3650,63.36,302.53
3660,63.36,302.53
3670,63.36,302.53
3680,63.36,302.53
3690,63.36,302.53
3700,63.36,302.53
3710,63.36,302.53
3720,63.36,302.53
3730,63.36,302.53
3740,63.36,302.53
3750,63.36,302.53
3760,63.36,302.53
3770,63.36,302.53
3780,63.36,302.53
3790,63.36,302.53
3800,63.36,302.53
3810,63.36,302.53
3820,63.36,302.53
3830,63.36,302.53
3840,63.36,302.53
3850,63.36,302.53
3860,63.36,302.53
3870,63.36,302.53
3880,63.36,302.53
3890,63.36,302.53
3900,63.36,302.53
3910,63.36,302.53
3920,63.36,302.53
3930,63.36,302.53
3940,63.36,302.53
3950,63.36,302.53
3960,63.36,302.53
3970,63.36,302.53
3980,63.36,302.53
3990,63.36,302.53
4000,63.36,302.53
4010,63.36,302.53
4020,63.36,302.53
4030,63.36,302.53
4040,63.36,302.53
4050,63.36,302.53
4060,63.36,302.53
4070,63.36,302.53
4080,63.36,302.53
4090,63.36,302.53
4100,63.36,302.53
4110,63.36,302.53
4120,63.36,302.53
4130,63.36,302.53
4140,63.36,302.53
4150,63.36,302.53
4160,63.36,302.53
4170,63.36,302.53
4180,63.36,302.53
4190,63.36,302.53
4200,63.36,302.53
4210,63.36,302.53
4220,63.36,302.53
4230,63.36,302.53
4240,63.36,302.53
4250,63.36,302.53
4260,63.36,302.53
4270,63.36,302.53
4280,63.36,302.53
4290,63.36,302.53
4300,63.36,302.53
4310,63.36,302.53
4320,63.36,302.53
4330,63.36,302.53
4340,63.36,302.53
4350,63.36,302.53
4360,63.36,302.53
4370,63.36,302.53
4380,63.36,302.53
4390,63.36,302.53
4400,63.36,302.53
4410,63.36,302.53
4420,63.36,302.53
4430,63.36,302.53
4440,63.36,302.53
4450,63.36,302.53
4460,63.36,302.53
4470,63.36,302.53
4480,63.36,302.53
4490,63.36,302.53
4500,63.36,302.53
4510,63.36,302.53
4520,63.36,302.53
4530,63.36,302.53
4540,63.36,302.53
4550,63.36,302.53
4560,63.36,302.53
4570,63.36,302.53
4580,63.36,302.53
4590,63.36,302.53
4600,63.36,302.53
4610,63.36,302.53
4620,63.36,302.53
4630,63.36,302.53
4640,63.36,302.53
4650,63.36,302.53
4660,63.36,302.53
4670,63.36,302.53
4680,63.36,302.53
4690,63.36,302.53
4700,63.36,302.53
4710,63.36,302.53
4720,63.36,302.53
4730,63.36,302.53
4740,63.36,302.53
4750,63.36,302.53
4760,63.36,302.53
4770,63.36,302.53
4780,63.36,302.53
4790,63.36,302.53
4800,63.36,302.53
4810,63.36,302.53
4820,63.36,302.53
4830,63.36,302.53
4840,63.36,302.53
4850,63.36,302.53
4860,63.36,302.53
4870,63.36,302.53
4880,63.36,302.53
4890,63.36,302.53
4900,63.36,302.53
4910,63.36,302.53
4920,63.36,302.53
4930,63.36,302.53
4940,63.36,302.53
4950,63.36,302.53
4960,63.36,302.53
4970,63.36,302.53
4980,63.36,302.53
4990,63.36,302.53
5000,63.36,302.53
5010,63.36,302.53
5020,63.36,302.53
5030,63.36,302.53
5040,63.36,302.53
5050,63.36,302.53
5060,63.36,302.53
5070,63.36,302.53
5080,63.36,302.53
5090,63.36,302.53
5100,63.36,302.53
5110,63.36,302.53
5120,63.36,302.53
5130,63.36,302.53
5140,63.36,302.53
5150,63.36,302.53
5160,63.36,302.53
5170,63.36,302.53
5180,63.36,302.53
5190,63.36,302.53
5200,63.36,302.53
5210,63.36,302.53
5220,63.36,302.53
5230,63.36,302.53
5240,63.36,302.53
5250,63.36,302.53
5260,63.36,302.53
5270,63.36,302.53
5280,63.36,302.53
5290,63.36,302.53
5300,63.36,302.53
5310,63.36,302.53
5320,63.36,302.53
5330,63.36,302.53
5340,63.36,302.53
5350,63.36,302.53
5360,63.36,302.53
5370,63.36,302.53
5380,63.36,302.53
5390,63.36,302.53
5400,63.36,302.53
5410,63.36,302.53
5420,63.36,302.53
5430,63.36,302.53
5440,63.36,302.53
5450,63.36,302.53
5460,63.36,302.53
5470,63.36,302.53
5480,63.36,302.53
5490,63.36,302.53
5500,63.36,302.53
5510,63.36,302.53
5520,63.36,302.53
5530,63.36,302.53
5540,63.36,302.53
5550,63.36,302.53
5560,63.36,302.53
5570,63.36,302.53
5580,63.36,302.53
5590,63.36,302.53
5600,63.36,302.53
5610,63.36,302.53
5620,63.36,302.53
5630,63.36,302.53
5640,63.36,302.53
5650,63.36,302.53
5660,63.36,302.53
5670,63.36,302.53
5680,63.36,302.53
5690,63.36,302.53
5700,63.36,302.53
5710,63.36,302.53
5720,63.36,302.53
5730,63.36,302.53
5740,63.36,302.53
5750,63.36,302.53
5760,63.36,302.53
5770,63.36,302.53
5780,63.36,302.53
5790,63.36,302.53
5800,63.36,302.53
5810,63.36,302.53
5820,63.36,302.53
5830,63.36,302.53
5840,63.36,302.53
5850,63.36,302.53
5860,63.36,302.53
5870,63.36,302.53
5880,63.36,302.53
5890,63.36,302.53
5900,63.36,302.53
5910,63.36,302.53
5920,63.36,302.53
5930,63.36,302.53
5940,63.36,302.53
5950,63.36,302.53
5960,63.36,302.53
5970,63.36,302.53
5980,63.36,302.53
5990,63.36,302.53
6000,63.36,302.53
6010,63.36,302.53
6020,63.36,302.53
6030,63.36,302.53
6040,63.36,302.53
6050,63.36,302.53
6060,63.36,302.53
6070,63.36,302.53
6080,63.36,302.53
6090,63.36,302.53
6100,63.36,302.53
6110,63.36,302.53
6120,63.36,302.53
6130,63.36,302.53
6140,63.36,302.53
6150,63.36,302.53
6160,63.36,302.53
6170,63.36,302.53
6180,63.36,302.53
6190,63.36,302.53
6200,63.36,302.53
6210,63.36,302.53
6220,63.36,302.53
6230,63.36,302.53
6240,63.36,302.53
6250,63.36,302.53
6260,63.36,302.53
6270,63.36,302.53
6280,63.36,302.53
6290,63.36,302.53
6300,63.36,302.53
6310,63.36,302.53
6320,63.36,302.53
6330,63.36,302.53
6340,63.36,302.53
6350,63.36,302.53
6360,63.36,302.53
6370,63.36,302.53
6380,63.36,302.53
6390,63.36,302.53
6400,63.36,302.53
6410,63.36,302.53
6420,63.36,302.53
6430,63.36,302.53
6440,63.36,302.53
6450,63.36,302.53
6460,63.36,302.53
6470,63.36,302.53
6480,63.36,302.53
6490,63.36,302.53
6500,63.36,302.53
6510,63.36,302.53
6520,63.36,302.53
6530,63.36,302.53
6540,63.36,302.53
6550,63.36,302.53
6560,63.36,302.53
6570,63.36,302.53
6580,63.36,302.53
6590,63.36,302.53
6600,63.36,302.53
6610,63.36,302.53
6620,63.36,302.53
6630,63.36,302.53
6640,63.36,302.53
6650,63.36,302.53
6660,63.36,302.53
6670,63.36,302.53
6680,63.36,302.53
6690,63.36,302.53
6700,63.36,302.53
6710,63.36,302.53
6720,63.36,302.53
6730,63.36,302.53
6740,63.36,302.53
6750,63.36,302.53
6760,63.36,302.53
6770,63.36,302.53
6780,63.36,302.53
6790,63.36,302.53
6800,63.36,302.53
6810,63.36,302.53
6820,63.36,302.53
6830,63.36,302.53
6840,63.36,302.53
6850,63.36,302.53
6860,63.36,302.53
6870,63.36,302.53
6880,63.36,302.53
6890,63.36,302.53
6900,63.36,302.53
6910,63.36,302.53
6920,63.36,302.53
6930,63.36,302.53
6940,63.36,302.53
6950,63.36,302.53
6960,63.36,302.53
6970,63.36,302.53
6980,63.36,302.53
6990,63.36,302.53
7000,63.36,302.53
7010,63.36,302.53
7020,63.36,302.53
7030,63.36,302.53
7040,63.36,302.53
7050,63.36,302.53
7060,63.36,302.53
7070,63.36,302.53
7080,63.36,302.53
7090,63.36,302.53
7100,63.36,302.53
7110,63.36,302.53
7120,63.36,302.53
7130,63.36,302.53
7140,63.36,302.53
7150,63.36,302.53
7160,63.36,302.53
7170,63.36,302.53
7180,63.36,302.53
7190,63.36,302.53
7200,63.36,302.53
7210,63.36,302.53
7220,63.36,302.53
7230,63.36,302.53
7240,63.36,302.53
7250,63.36,302.53
7260,63.36,302.53
7270,63.36,302.53
7280,63.36,302.53
7290,63.36,302.53
7300,63.36,302.53
7310,63.36,302.53
7320,63.36,302.53
7330,63.36,302.53
7340,63.36,302.53
7350,63.36,302.53
7360,63.36,302.53
7370,63.36,302.53
7380,63.36,302.53
7390,63.36,302.53
7400,63.36,302.53
7410,63.36,302.53
7420,63.36,302.53
7430,63.36,302.53
7440,63.36,302.53
7450,63.36,302.53
7460,63.36,302.53
7470,63.36,302.53
7479.65,63.36,302.53
7480,63.37,302.54
7490,63.42,302.93
7500,63.48,303.31
7510,63.54,303.7
7520,63.59,304.08
7530,63.65,304.47
7540,63.72,304.85
7550,63.78,305.24
7560,63.84,305.62
7570,63.9,306
7580,63.97,306.39
7590,64.04,306.77
7600,64.1,307.15
7610,64.17,307.53
7620,64.24,307.91
7630,64.31,308.29
7640,64.38,308.67
7650,64.45,309.05
7660,64.53,309.43
7670,64.6,309.81
7680,64.67,310.19
7690,64.75,310.57
7700,64.83,310.95
7710,64.9,311.32
7720,64.98,311.7
7730,65.06,312.08
7740,65.14,312.45
7750,65.22,312.83
7760,65.31,313.2
7770,65.39,313.57
7780,65.48,313.95
7790,65.56,314.32
7800,65.65,314.69
7810,65.73,315.07
7820,65.82,315.44
7830,65.91,315.81
7840,66,316.18
7850,66.09,316.55
7860,66.18,316.92
7870,66.27,317.29
7880,66.37,317.65
7890,66.46,318.02
7900,66.56,318.39
7910,66.65,318.76
7920,66.75,319.12
7930,66.85,319.49
7940,66.95,319.85
7950,67.04,320.22
7960,67.14,320.58
7970,67.25,320.95
7980,67.35,321.31
7990,67.45,321.67
8000,67.55,322.03
8010,67.66,322.39
8020,67.76,322.76
8030,67.87,323.12
8040,67.97,323.48
8050,68.08,323.83
8060,68.19,324.19
8070,68.3,324.55
8080,68.41,324.91
8090,68.52,325.27
8100,68.63,325.62
8110,68.74,325.98
8120,68.85,326.33
8130,68.97,326.69
8140,69.08,327.04
8150,69.2,327.4
8160,69.31,327.75
8170,69.43,328.1
8180,69.55,328.46
8190,69.66,328.81
8200,69.78,329.16
8210,69.9,329.51
8220,70.02,329.86
8230,70.14,330.21
8240,70.26,330.56
8250,70.38,330.91
8260,70.51,331.25
8270,70.63,331.6
8280,70.75,331.95
8290,70.88,332.29
8300,71,332.64
8310,71.13,332.99
8320,71.26,333.33
8330,71.38,333.67
8340,71.51,334.02
8350,71.64,334.36
8360,71.77,334.7
8370,71.9,335.05
8380,72.03,335.39
8390,72.16,335.73
8400,72.29,336.07
8410,72.42,336.41
8420,72.55,336.75
8430,72.69,337.09
8440,72.82,337.43
8450,72.96,337.77
8460,73.09,338.1
8470,73.23,338.44
8480,73.36,338.78
8490,73.5,339.11
8500,73.63,339.45
8510,73.77,339.79
8520,73.91,340.12
8530,74.05,340.45
8540,74.19,340.79
8550,74.33,341.12
8560,74.47,341.45
8570,74.61,341.79
8580,74.75,342.12
8590,74.89,342.45
8600,75.03,342.78
8610,75.17,343.11
8620,75.32,343.44
8630,75.46,343.77
8640,75.61,344.1
8650,75.75,344.43
8660,75.89,344.76
